 ID | Member ID | Checkout on | Check In
 1 | 1234 | 23-11-2019 17:51 | 24-11-2019 13:11
 2 | 1234 | 23-11-2019 17:51 | 24-11-2019 13:14
 2 | 1234 | 24-11-2019 13:22 | 24-11-2019 13:48
 2 | 1234 | 24-11-2019 14:35 | 24-11-2019 14:35
 2 | 1234 | 24-11-2019 14:36 | 24-11-2019 14:36
 2 | 1234 | 24-11-2019 14:41 | 24-11-2019 14:46
 1 | 1234 | 24-11-2019 14:48 | 24-11-2019 14:48
 1 | 1234 | 24-11-2019 14:54 | 24-11-2019 15:03
 1 | 1234 | 24-11-2019 15:09 | 24-11-2019 15:09
 4 | 1245 | 23-11-2019 18:09 | 24-11-2019 15:13
 1 | 1234 | 24-11-2019 15:15 | 24-11-2019 15:15
 1 | 1234 | 24-11-2019 15:16 | 24-11-2019 15:19
 1 | 1234 | 24-11-2019 15:20 | 24-11-2019 15:20
 5 | 1245 | 23-11-2019 18:09 | 24-11-2019 15:28
 5 | 1234 | 28-11-2019 10:08 | 28-11-2019 10:10
 5 | 1234 | 28-11-2019 10:08 | 28-11-2019 10:10
 4 | 1234 | 28-11-2019 10:28 | 28-11-2019 10:29
 4 | 1234 | 28-11-2019 10:28 | 28-11-2019 10:29
 5 | 1234 | 28-11-2019 13:25 | 28-11-2019 13:48
 6 | 1234 | 23-11-2019 21:25 | 08-12-2019 13:40
 7 | 1234 | 24-11-2019 01:51 | 08-12-2019 14:37
 2 | 1234 | 24-11-2019 15:29 | 08-12-2019 14:37
 17 | 1234 | 12-12-2019 17:55 | 12-12-2019 18:19
 1 | 1234 | 12-12-2019 18:21 | 12-12-2019 18:24
 1 | 1234 | 12-12-2019 18:25 | 12-12-2019 18:25
 17 | 1234 | 12-12-2019 18:25 | 12-12-2019 18:30
 17 | 1234 | 12-12-2019 18:32 | 12-12-2019 18:32
 1 | 1234 | 12-12-2019 18:32 | 12-12-2019 18:42
 16 | 1234 | 12-12-2019 18:43 | 12-12-2019 18:43
 4 | 1234 | 12-12-2019 18:52 | 12-12-2019 18:53
 4 | 1234 | 12-12-2019 19:55 | 12-12-2019 20:07
 4 | 1234 | 12-12-2019 20:51 | 12-12-2019 21:11
 17 | 1234 | 12-12-2019 21:32 | 12-12-2019 21:32
 1 | 1234 | 12-12-2019 22:44 | 12-12-2019 22:45
 5 | 1234 | 13-12-2019 02:39 | 13-12-2019 02:39
